,Player,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Offensive Archetype,Pos,LEBRON,O-LEBRON,D-LEBRON,Wins Added,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
269,Matisse Thybulle,471.0,23.0,57,1145,9.8,0.5,0.59,0.076,2.8,8.0,5.5,6.1,3.7,4.5,10.0,9.0,,0.1,2.2,2.4,0.099,-2.8,4.1,1.3,0.9,2711280.0,Stationary Shooter,SG,0.61,-1.69,2.3,2.0,-0.08,-2.37,2.29
270,Matt Thomas,468.0,26.0,23,175,5.033333333333333,0.4573333333333333,0.65,0.06233333333333333,2.3333333333333335,11.6,6.966666666666666,8.133333333333333,0.6000000000000001,0.0,10.566666666666668,19.133333333333336,,-0.16666666666666666,0.13333333333333333,-0.06666666666666667,-0.03766666666666667,-5.333333333333333,-2.8333333333333335,-8.166666666666666,-0.19999999999999998,1517981.0,Movement Shooter,SG,-1.57,-0.54,-1.03,0.1,-1.53,-0.58,-0.95
271,Matthew Dellavedova,119.0,30.0,12,206,7.5,0.294,0.431,0.078,3.2,9.5,6.3,37.0,1.0,0.0,10.2,12.5,,-0.1,0.1,0.0,0.006,-4.6,-2.1,-6.7,-0.2,2174318.0,Secondary Ball Handler,PG,-0.42,-0.13,-0.29,0.2,-0.43,-0.17,-0.25
272,Maurice Harkless,196.0,27.0,17,294,7.7,0.5596666666666666,0.6286666666666666,0.21933333333333335,2.4000000000000004,10.133333333333333,6.233333333333333,6.866666666666666,1.5333333333333332,2.6666666666666665,13.0,9.600000000000001,,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.051333333333333335,-3.033333333333333,-0.03333333333333335,-3.0666666666666664,-0.06666666666666667,3623000.0,Stretch Big,PF-SF,-1.56,-1.71,0.15,0.2,-1.05,-1.46,0.41
273,Maxi Kleber,268.0,29.0,43,1193,10.4,0.601,0.77,0.146,3.8,17.3,10.7,6.5,1.0,2.5,9.9,10.5,,1.3,1.2,2.5,0.101,-0.9,0.1,-0.8,0.4,8250000.0,Stretch Big,PF,-0.65,-1.44,0.79,1.3,-0.38,-1.14,0.76
274,Meyers Leonard,286.0,28.0,3,29,6.6,0.635,1.0,0.286,0.0,26.7,13.7,10.0,0.0,0.0,20.2,15.4,,0.0,0.0,0.0,0.042,-3.5,-0.9,-4.4,0.0,9400000.0,Stretch Big,C,-0.21,-0.3,0.09,0.0,-0.19,-0.19,0.0
275,Mfiondu Kabengele,264.0,23.0,18,79,4.966666666666667,0.46833333333333327,0.6526666666666666,0.268,0.7333333333333334,18.633333333333336,9.700000000000001,6.3999999999999995,2.3,1.7,14.666666666666666,16.46666666666667,,-0.16666666666666666,0.06666666666666667,-0.03333333333333334,-0.003999999999999994,-8.966666666666667,0.6,-8.366666666666667,-0.13333333333333333,2075880.0,Stretch Big,PF,-1.1,-0.68,-0.42,0.1,-0.56,-0.41,-0.15
276,Mikal Bridges,65.0,24.0,59,1916,15.7,0.646,0.466,0.191,3.9,11.2,7.7,9.1,1.4,2.4,7.3,14.9,,4.0,2.3,6.3,0.159,1.8,0.7,2.5,2.2,4359000.0,Stationary Shooter,SF,1.33,0.39,0.93,4.4,1.53,0.5,1.03
277,Mike Conley,103.0,33.0,48,1428,19.0,0.589,0.53,0.217,2.5,9.0,5.9,30.1,2.3,0.5,12.4,22.8,,3.7,2.0,5.7,0.193,3.4,0.8,4.1,2.2,34504132.0,Primary Ball Handler,PG,3.3,2.19,1.11,5.0,2.65,2.71,-0.06
278,Mike Muscala,350.0,29.0,35,645,14.8,0.599,0.689,0.135,3.1,18.3,10.7,7.0,0.6,1.5,6.9,20.2,,0.9,0.5,1.3,0.099,0.8,-1.2,-0.3,0.3,2283034.0,Stretch Big,C,-0.05,0.09,-0.14,1.0,-0.8,-0.16,-0.64
279,Mike Scott,439.0,32.0,41,721,6.7,0.513,0.766,0.07,1.4,14.4,8.0,5.3,1.4,0.9,9.3,11.6,,0.0,0.9,0.9,0.057,-3.2,0.2,-3.0,-0.2,5005350.0,Stationary Shooter,PF,-2.42,-2.34,-0.08,0.0,-1.93,-1.96,0.03
280,Miles Bridges,66.0,22.0,59,1677,14.1,0.626,0.47,0.18,4.7,18.7,11.6,10.7,1.2,2.6,15.0,16.7,,1.8,1.6,3.4,0.099,-0.2,-0.1,-0.3,0.7,3934320.0,Stretch Big,PF,-0.76,-0.69,-0.08,1.6,-1.51,-1.34,-0.17
281,Mitchell Robinson,425.0,22.0,31,853,17.7,0.642,0.0,0.301,14.5,17.5,16.0,2.9,2.1,5.1,11.5,11.7,,1.8,1.6,3.4,0.191,-0.3,1.1,0.9,0.6,1663861.0,Roll + Cut Big,C,0.3,-1.32,1.62,1.5,0.29,-1.39,1.68
282,Miye Oni,376.0,23.0,44,400,6.0,0.513,0.882,0.071,5.2,12.8,9.2,5.1,0.7,1.6,14.6,11.1,,0.0,0.5,0.5,0.065,-3.6,0.4,-3.2,-0.1,1517981.0,Stationary Shooter,SG,-2.46,-1.87,-0.6,0.0,-2.49,-1.91,-0.58
283,Mo Bamba,28.0,22.0,35,457,19.1,0.558,0.391,0.178,11.0,27.4,18.9,6.7,0.6,7.1,9.5,22.8,,0.4,0.6,1.0,0.11,0.0,-0.3,-0.3,0.2,5969040.0,Stretch Big,C,0.85,-0.38,1.23,0.9,0.95,-0.44,1.39
284,Monte Morris,346.0,25.0,44,1151,13.8,0.572,0.356,0.195,1.1,8.2,4.7,16.5,1.3,1.1,7.5,16.3,,1.9,0.7,2.7,0.111,0.1,-1.1,-1.0,0.3,1663861.0,Secondary Ball Handler,PG,-0.67,0.11,-0.78,1.3,-0.62,0.07,-0.69
285,Montrezl Harrell,198.0,27.0,59,1416,22.5,0.648,0.019,0.401,11.3,19.3,15.3,7.6,1.4,2.7,9.4,21.5,,4.0,2.5,6.5,0.221,2.3,0.3,2.7,1.7,9258000.0,Post Scorer,C,1.27,0.39,0.88,3.3,1.22,0.52,0.71
