,Player,TRB,AST,STL,BLK,PTS
222,Rudy Gobert,13.5,1.3,0.5,2.8,14.5
242,Rui Hachimura,5.7,1.5,0.8,0.1,13.5
654,Russell Westbrook,11,11,1.3,0.4,21.8
23,Ryan Arcidiacono,1.6,1.3,0.2,0,3
376,Saben Lee,2.1,3.3,0.7,0.3,5.2
51,Saddiq Bey,4.2,1.2,0.7,0.2,11.3
434,Sam Merrill,1,0.7,0.2,0,3.1
420,Sean McDermott,1.1,0.2,0.1,0.2,2.3
169,Sekou Doumbouya,2.2,0.7,0.4,0.1,4
472,Semi Ojeleye,2.6,0.7,0.3,0,4.7
304,Serge Ibaka,6.7,1.7,0.2,1.2,10.9
145,Seth Curry,2.1,2.8,0.8,0.2,12
219,Shai Gilgeous-Alexander,4.7,5.9,0.8,0.7,23.7
440,Shake Milton,2.3,2.9,0.6,0.3,13.3
265,Shaquille Harrison,0.7,0.5,0.3,0,1.5
266,Shaquille Harrison,0.5,0.5,0.1,0,1
267,Shaquille Harrison,1.3,0.5,1,0,3
611,Sindarius Thornwell,0.4,0.3,0.4,0.1,1.2
413,Skylar Mays,0.9,0.8,0.5,0,3.1
282,Solomon Hill,3,1,0.8,0.2,4.6
163,Spencer Dinwiddie,4.3,3,0.7,0.3,6.7
332,Stanley Johnson,2.3,1.2,0.8,0.3,3.3
146,Stephen Curry,5.5,5.7,1.2,0.1,31.2
93,Sterling Brown,4.4,1.4,0.7,0.2,8.2
2,Steven Adams,9,1.9,0.9,0.7,7.8
454,Sviatoslav Mykhailiuk,2.5,1.7,0.7,0.2,7.9
455,Sviatoslav Mykhailiuk,2.1,1.6,0.8,0.2,6.9
456,Sviatoslav Mykhailiuk,3.3,1.8,0.7,0.2,9.4
373,T.J. Leaf,0,0,1,0,2
416,T.J. McConnell,3.6,6.6,1.7,0.3,8.1
648,T.J. Warren,3.5,1.3,0.5,0,15.5
187,Tacko Fall,2.5,0.1,0.1,0.8,2.7
217,Taj Gibson,5.4,0.7,0.8,0.9,5.2
294,Talen Horton-Tucker,2.7,2.5,0.9,0.4,8.7
524,Taurean Prince,3.5,1.9,0.7,0.6,9.5
525,Taurean Prince,2.8,0.6,0.7,0.7,8.1
526,Taurean Prince,3.7,2.4,0.7,0.5,10.1
399,Terance Mann,3.7,1.7,0.4,0.2,6.8
150,Terence Davis,2.1,1.1,0.5,0.2,7.2
151,Terence Davis,1.9,1.1,0.5,0.2,6.9
152,Terence Davis,2.3,1.1,0.6,0.3,8
190,Terrance Ferguson,0.1,0.2,0.1,0,0.2
558,Terrence Ross,3.4,2.3,1,0.5,15.6
559,Terry Rozier,4.2,4.1,1.2,0.4,20.4
397,Theo Maledon,3.4,3.5,0.9,0.1,9.8
680,Thaddeus Young,6.2,4.2,1.1,0.6,12.1
19,Thanasis Antetokounmpo,2.4,0.9,0.4,0.2,3.2
506,Theo Pinson,0.1,0.1,0,0,0.1
98,Thomas Bryant,6.1,1.5,0.4,0.8,14.3
396,Thon Maker,2.3,0.5,0.3,0.5,3.8
205,Tim Frazier,1.3,2.3,0.3,0,1.3
250,Tim Hardaway,3.4,1.7,0.4,0.2,15.6
393,Timothe Luwawu-Cabarrot,2.4,1.2,0.6,0.1,6.6
264,Tobias Harris,7.1,3.6,1,0.9,20
566,Tomas Satoransky,2.4,4.9,0.8,0.2,7.8
75,Tony Bradley,5.6,0.8,0.4,0.7,7
76,Tony Bradley,5.2,0.9,0.3,0.7,5.5
77,Tony Bradley,6.1,0.8,0.5,0.7,8.9
586,Tony Snell,2.4,1.3,0.2,0.3,5.5
140,Torrey Craig,3.6,0.9,0.6,0.4,4.7
141,Torrey Craig,2.4,0.9,0.5,0.4,2.5
142,Torrey Craig,4.6,1,0.6,0.4,6.7
681,Trae Young,3.9,9.6,0.9,0.2,25.3
343,Tre Jones,0.4,0.7,0.2,0,1.9
651,Tremont Waters,0.6,2,0.6,0,2.8
199,Trent Forrest,0.4,1.1,0.2,0.1,0.9
24,Trevor Ariza,4.6,1.8,0.8,0.6,8.7
100,Trey Burke,0.9,1.4,0.6,0.1,6.7
394,Trey Lyles,3.7,0.6,0.3,0,5
610,Tristan Thompson,8,1.1,0.4,0.5,7.8
94,Troy Brown,3.1,0.9,0.3,0.2,4.7
95,Troy Brown,2.9,0.9,0.1,0.2,4.3
96,Troy Brown,3.4,0.8,0.5,0.2,5.5
324,Ty Jerome,2.8,3.6,0.6,0.1,10.4
52,Tyler Bey,1.1,0.1,0,0.1,1.3
133,Tyler Cook,2.5,0.5,0.2,0,3.5
134,Tyler Cook,0.5,0.5,0,0,0.5
135,Tyler Cook,2.9,0.5,0.3,0,4.2
277,Tyler Herro,4.9,3.4,0.7,0.4,14.9
333,Tyler Johnson,1.9,1,0.4,0,5.6
599,Tyrell Terry,0.5,0.5,0.5,0,1
244,Tyrese Haliburton,3,5.2,1.3,0.5,12.8
412,Tyrese Maxey,1.5,1.7,0.4,0.2,7.5
7,Ty-Shon Alexander,0.6,0.1,0,0.1,0.7
344,Tyus Jones,2.1,3.9,1,0.1,6.8
30,Udoka Azubuike,1.1,0,0.1,0.3,1
110,Vernon Carey,1.4,0.1,0.1,0.3,2.5
479,Victor Oladipo,4.8,4.6,1.4,0.4,19.8
480,Victor Oladipo,5.7,4.2,1.7,0.2,20
481,Victor Oladipo,4.8,5,1.2,0.5,21.2
482,Victor Oladipo,3.5,3.5,1.8,0.5,12
509,Vincent Poirier,1.4,0.2,0,0.3,0.8
107,Vlatko Čančar,1.1,0.3,0.3,0.1,1.4
182,Wayne Ellington,1.9,1.4,0.4,0.2,9.6
112,Wendell Carter,8.2,2,0.7,0.8,11.8
113,Wendell Carter,7.8,2.2,0.6,0.8,10.9
114,Wendell Carter,9.1,1.6,1,0.9,13.9
207,Wenyen Gabriel,1.7,0.7,0.2,0.2,2.2
310,Wesley Iwundu,2.2,0.4,0.4,0.1,2.5
311,Wesley Iwundu,1.9,0.4,0.4,0.1,2.1
312,Wesley Iwundu,2.6,0.4,0.4,0.1,3.2
411,Wesley Matthews,1.5,0.9,0.6,0.3,4.5
39,Will Barton,4,3.2,0.9,0.4,12.7
395,Will Magnay,0,0,0,0,0
117,Willie Cauley-Stein,4.3,0.7,0.4,0.8,5.6
276,Willy Hernangomez,6.4,0.9,0.4,0.5,6.7
614,Xavier Tillman,4.4,1.3,0.8,0.6,6.8
192,Yogi Ferrell,2,3.5,1,0.3,8.3
193,Yogi Ferrell,3.5,2.5,1.5,0.5,9.5
194,Yogi Ferrell,0.5,4.5,0.5,0,7
650,Yuta Watanabe,3.2,0.7,0.5,0.4,4.2
371,Zach LaVine,5.1,5.1,0.8,0.5,27.5
462,Zeke Nnaji,1.5,0.2,0.2,0.1,3.1
667,Zion Williamson,7.2,3.6,0.9,0.6,26.9
